Genre,imdbId,Feature1,Feature2
Action|Comedy|Crime,71216,Action,0
Drama|Romance,245238,Drama,1
Drama|War,263366,Drama,1
Comedy|Family|Horror,61550,Comedy,2
Action|Adventure|Drama,422091,Action,0
Comedy|Horror,103873,Comedy,2
Drama|Sci-Fi|Romance,54790,Drama,1
Drama|Thriller,1185376,Drama,1
Action|Crime|Drama,365686,Action,0
Action|Sci-Fi,417844,Action,0
Comedy|Family|Music,276033,Comedy,2
Action|Crime|Drama,415003,Action,0
Drama|Romance,1284526,Drama,1
Action|Comedy,372588,Action,0
Drama,44982,Drama,1
Comedy|Crime,98282,Comedy,2
Comedy|Drama|Romance,156729,Comedy,2
Action|Crime,70851,Action,0
Action|Crime|Drama,415080,Action,0
Comedy|Drama,107824,Comedy,2
Action|Comedy|Romance,98155,Action,0
Action|Crime|Thriller,479884,Action,0
Action|Crime|Drama,861739,Action,0
Comedy|Drama|Romance,78952,Comedy,2
Action|Crime|Thriller,1816597,Action,0
Comedy|Drama|Romance,116240,Comedy,2
Drama|Romance,113627,Drama,1
Drama|Thriller,952682,Drama,1
Drama,810945,Drama,1
Action|Crime|Thriller,3197766,Action,0
Drama|Music,113731,Drama,1
Action|War,96507,Action,0
Drama,488905,Drama,1
Action|Thriller|War,95774,Action,0
Comedy,18756,Comedy,2
Action|Sci-Fi|Thriller,98156,Action,0
Comedy,398839,Comedy,2
Drama,77315,Drama,1
Drama,78056,Drama,1
Action|Drama|Musical,151150,Action,0
Comedy|Drama|Romance,497137,Comedy,2
Drama,412808,Drama,1
Drama|Family|Fantasy,113419,Drama,1
Action|Drama,104667,Action,0
Drama|Family|Fantasy,66207,Drama,1
Comedy|Romance|Sport,487271,Comedy,2
Drama|History|War,46889,Drama,1
Drama|War,284815,Drama,1
Drama|Music|Romance,471834,Drama,1
Drama|Horror|Romance,1346961,Drama,1
Drama|Fantasy,44008,Drama,1
Drama|Sport,449018,Drama,1
Drama,104765,Drama,1
Action|Horror|Sci-Fi,996979,Action,0
Comedy|Drama|Romance,87968,Comedy,2
Drama|Music|Romance,338096,Drama,1
Action|Adventure|Comedy,119807,Action,0
Comedy|Family,84633,Comedy,2
Drama|Fantasy|Mystery,481797,Drama,1
Action|Drama|War,41841,Action,0
Action|Drama|History,55850,Action,0
Drama,1172991,Drama,1
Action|History|Thriller,1442571,Action,0
Drama|Romance|War,920461,Drama,1
Action|Drama|History,1599975,Action,0
Drama|Horror|Sci-Fi,335121,Drama,1
Drama|Romance|War,36217,Drama,1
Drama|War,53121,Drama,1
Action|Horror|Sci-Fi,87344,Action,0
Action|Crime|Drama,3698118,Action,0
Comedy|Drama|Romance,47094,Comedy,2
Comedy,80319,Comedy,2
Drama|Romance,59084,Drama,1
Comedy,120707,Comedy,2
Drama,108094,Drama,1
Comedy|Drama,477078,Comedy,2
Comedy|Crime,56704,Comedy,2
Action|Drama,1533749,Action,0
Comedy|Crime|Drama,1142800,Comedy,2
Action|Fantasy|Western,1032751,Action,0
Comedy|Drama|Family,26641,Comedy,2
Action|Adventure|Sci-Fi,327409,Action,0
Comedy,39566,Comedy,2
Action|Adventure|Family,465234,Action,0
Drama,103838,Drama,1
Action|Sci-Fi|Thriller,85627,Action,0
Drama,47281,Drama,1
Comedy,107225,Comedy,2
Drama|Thriller,72848,Drama,1
Drama,880502,Drama,1
Comedy|Crime,196216,Comedy,2
Comedy|Western,67072,Comedy,2
Comedy|Romance,120318,Comedy,2
Drama,83090,Drama,1
Drama,95178,Drama,1
Action|Biography|Drama,29850,Action,0
Action|Adventure|Sci-Fi,163025,Action,0
Action|Drama|Sci-Fi,991178,Action,0
Comedy|Drama,95188,Comedy,2
Comedy|Drama|Romance,112609,Comedy,2
Action|Comedy,71221,Action,0
Comedy,245341,Comedy,2
Comedy|Drama|Fantasy,478044,Comedy,2
Drama|Mystery|Thriller,368447,Drama,1
Comedy|Drama|Romance,83089,Comedy,2
Drama|Film-Noir|Thriller,43938,Drama,1
Action|Crime|Drama,259484,Action,0
Comedy|Crime,430304,Comedy,2
Action|Crime|Drama,73778,Action,0
Comedy|Drama,200192,Comedy,2
Action|Drama|War,43540,Action,0
Action|Crime|Thriller,266987,Action,0
Comedy|Horror|Thriller,98320,Comedy,2
Action|Crime|Drama,64256,Action,0
Drama|Sport,91217,Drama,1
Drama|Horror|Thriller,58283,Drama,1
Action|Adventure|Drama,35244,Action,0
Drama|Romance,23488,Drama,1
Action|Adventure|Drama,1735898,Action,0
Comedy|Crime,54417,Comedy,2
Action|Adventure|Crime,1085382,Action,0
Drama,1360866,Drama,1
Drama,55892,Drama,1
Action|Sci-Fi,3393070,Action,0
Comedy|Family|Fantasy,89789,Comedy,2
Comedy|Romance,91680,Comedy,2
Action|Crime|Thriller,1297919,Action,0
Action|Sci-Fi|Thriller,4776564,Action,0
Drama,89424,Drama,1
Drama,1356928,Drama,1
Drama,85872,Drama,1
Action|Adventure|Fantasy,816462,Action,0
Comedy|Drama,119164,Comedy,2
Action|Adventure|Drama,282695,Action,0
Comedy|Drama|Romance,212380,Comedy,2
Drama,82992,Drama,1
Drama|Thriller,804522,Drama,1
Comedy|Romance,252028,Comedy,2
Action|Drama|History,56058,Action,0
Drama,85101,Drama,1
Drama,51879,Drama,1
Comedy|Drama|Romance,284277,Comedy,2
Drama|Music|Romance,70238,Drama,1
Action|Comedy,76661,Action,0
Action|Adventure|Drama,53994,Action,0
Drama,57251,Drama,1
Action|Sci-Fi,420225,Action,0
Comedy|Drama,98067,Comedy,2
Action|Adventure|Crime,35665,Action,0
Action|Adventure|Sci-Fi,972558,Action,0
Action|Crime|Drama,114194,Action,0
Drama|Romance,73107,Drama,1
Action|Drama,3697566,Action,0
Drama|Romance,47203,Drama,1
Action|Horror|Sci-Fi,2117905,Action,0
Drama|Mystery,54632,Drama,1
Action|Crime|Thriller,814022,Action,0
Comedy|Romance,139388,Comedy,2
Action|Sci-Fi|Thriller,4046784,Action,0
Drama|Mystery,1224366,Drama,1
Comedy|Romance,31725,Comedy,2
Action|Adventure|Sci-Fi,2130142,Action,0
Drama,196267,Drama,1
Drama|History|Western,212132,Drama,1
Action|Adventure|Comedy,92534,Action,0
Comedy|Crime|Drama,116269,Comedy,2
Comedy|Music,88286,Comedy,2
Action|Mystery|Thriller,114170,Action,0
Comedy|Music,78446,Comedy,2
Drama|Family|Fantasy,66344,Drama,1
Comedy|Crime,75066,Comedy,2
Comedy|Horror,56943,Comedy,2
Action|Comedy|Sci-Fi,86393,Action,0
Comedy|Drama|Romance,270688,Comedy,2
Action|Sci-Fi,2518926,Action,0
Drama|Romance|Thriller,760311,Drama,1
Drama,271537,Drama,1
Comedy|Crime|Drama,21508,Comedy,2
Drama|Romance,263975,Drama,1
Comedy|Drama,384680,Comedy,2
Comedy|Drama,319769,Comedy,2
Action|Comedy|Drama,2967578,Action,0
Action|Crime|Drama,402158,Action,0
Action|Crime|Drama,428725,Action,0
Action|Drama|Thriller,2334879,Action,0
Action|Sci-Fi,4530832,Action,0
Action|Adventure|Comedy,447166,Action,0
Comedy|Music|Romance,99800,Comedy,2
Drama,49829,Drama,1
Comedy|Drama|Romance,444112,Comedy,2
Comedy,262246,Comedy,2
Drama,71483,Drama,1
Action|Drama,111002,Action,0
Comedy,213790,Comedy,2
Action|Sci-Fi|Thriller,97138,Action,0
Drama,201899,Drama,1
Drama|Music|Musical,40725,Drama,1
Comedy|Romance,114131,Comedy,2
Comedy|Family|Sci-Fi,270846,Comedy,2
Comedy|Music,43123,Comedy,2
Comedy|Musical,31060,Comedy,2
Drama|Horror,90197,Drama,1
Comedy|Family,116571,Comedy,2
Action|Comedy|Horror,1020543,Action,0
Action|Crime|Thriller,1596343,Action,0
Drama,300270,Drama,1
Comedy|Crime|Drama,1228953,Comedy,2
Comedy|Crime,843270,Comedy,2
Drama|Comedy,178988,Drama,1
Drama|Romance,120709,Drama,1
Action|Crime|Drama,74836,Action,0
Drama|Romance,304729,Drama,1
Drama|Fantasy,251052,Drama,1
Drama,23686,Drama,1
Action|Adventure|Family,64360,Action,0
Drama|History|Thriller,213682,Drama,1
Action|Drama|Western,1554426,Action,0
Drama,60358,Drama,1
Comedy|Fantasy|Romance,86494,Comedy,2
Comedy|Drama,102861,Comedy,2
Drama,111845,Drama,1
Comedy,18523,Comedy,2
Comedy|Drama,118826,Comedy,2
Action|Adventure|Drama,45679,Action,0
Comedy|Music,81433,Comedy,2
Comedy|Drama|Romance,269389,Comedy,2
Comedy,108207,Comedy,2
Comedy|Drama|Romance,112427,Comedy,2
Action|Comedy|Horror,139414,Action,0
Action|Comedy,105645,Action,0
Drama|History|Romance,180793,Drama,1
Action|Comedy|Sport,77864,Action,0
Action|Horror|Sci-Fi,164052,Action,0
Action|Crime|Thriller,373762,Action,0
Drama,43629,Drama,1
Action|Crime|Drama,296574,Action,0
Action|Adventure|Sci-Fi,1190080,Action,0
Drama|Fantasy|Music,53146,Drama,1
Action|Sci-Fi,3993802,Action,0
Drama|Romance,1403981,Drama,1
Comedy|Drama,170259,Comedy,2
Comedy|Drama,88821,Comedy,2
Action|Adventure|Drama,311113,Action,0
Action|Fantasy,978764,Action,0
Action|Crime,200052,Action,0
Comedy|Crime|Thriller,71080,Comedy,2
Comedy|Fantasy|Horror,118604,Comedy,2
Drama|Romance|Thriller,363532,Drama,1
Action|Crime|Thriller,68431,Action,0
Drama|Romance,48527,Drama,1
Comedy,217788,Comedy,2
Drama|Romance,82964,Drama,1
Action|Comedy,361800,Action,0
Drama,42436,Drama,1
Drama|Romance|Thriller,184791,Drama,1
Action|Crime|Thriller,73240,Action,0
Action|Comedy|Romance,249588,Action,0
Action|Crime|Drama,468569,Action,0
Drama,456873,Drama,1
Comedy|Musical,61937,Comedy,2
Action|Comedy|History,106936,Action,0
Drama|Mystery,70689,Drama,1
Comedy|Crime|Romance,118002,Comedy,2
Action|Fantasy|Horror,219653,Action,0
Drama|Romance|War,87980,Drama,1
Action|Drama|Thriller,112712,Action,0
Comedy,110524,Comedy,2
Drama,387701,Drama,1
Drama,98347,Drama,1
Comedy|Drama|Music,388395,Comedy,2
Comedy|Fantasy,54494,Comedy,2
Comedy,85450,Comedy,2
Comedy|Drama,124179,Comedy,2
Drama,327919,Drama,1
Drama|Sci-Fi,800022,Drama,1
Comedy|Romance|Drama,93664,Comedy,2
Drama,889652,Drama,1
Comedy|Crime|Romance,125022,Comedy,2
Action|Adventure|Thriller,207377,Action,0
Action|Adventure|Drama,137799,Action,0
Drama,102458,Drama,1
Drama|Horror|Romance,82910,Drama,1
Action,4465,Action,0
Drama|Romance,70842,Drama,1
Drama|Romance,322725,Drama,1
Comedy|Drama,144142,Comedy,2
Drama,487419,Drama,1
Action|Drama|Mystery,1039952,Action,0
Drama,108026,Drama,1
Drama,94799,Drama,1
Action|Sci-Fi,1405412,Action,0
Drama|Thriller,94731,Drama,1
Action|Drama,77655,Action,0
Action|Crime|Thriller,75720,Action,0
Action|Drama|History,2025690,Action,0
Drama|Romance,346800,Drama,1
Comedy,285462,Comedy,2
Action|Adventure|Family,499448,Action,0
Comedy|Drama|History,120125,Comedy,2
Drama|Romance,71577,Drama,1
Drama,381131,Drama,1
Comedy|Musical|Romance,25028,Comedy,2
Drama,88322,Drama,1
Drama|War,8663,Drama,1
Comedy|Drama|Music,1111948,Comedy,2
Comedy|Drama|Romance,419843,Comedy,2
Action|Comedy|Sci-Fi,426592,Action,0
Comedy|Crime|Thriller,124198,Comedy,2
Action|Adventure|History,111157,Action,0
Comedy|Drama|Romance,109484,Comedy,2
Drama,66491,Drama,1
Comedy|Musical,62281,Comedy,2
Drama|Romance,790721,Drama,1
Comedy|Drama,329388,Comedy,2
Comedy|Drama|Romance,273048,Comedy,2
Comedy|Romance,107613,Comedy,2
Drama,96841,Drama,1
Drama,57336,Drama,1
Drama|History,323944,Drama,1
Drama,975684,Drama,1
Drama,58930,Drama,1
Drama,95385,Drama,1
Drama,80547,Drama,1
Action|Biography|Drama,106770,Action,0
Comedy|Drama|Romance,494277,Comedy,2
Comedy|Drama|Romance,48563,Comedy,2
Action|Fantasy|Sci-Fi,113135,Action,0
Drama|Sport,33405,Drama,1
Drama|Music|Romance,162662,Drama,1
Action|Crime|Mystery,271732,Action,0
Action|Crime|Drama,1742334,Action,0
Drama,104756,Drama,1
Drama,96219,Drama,1
Action|Crime,152018,Action,0
Comedy|Horror|Sci-Fi,95989,Comedy,2
Drama|Adventure,45002,Drama,1
Action|Sport|Thriller,97659,Action,0
Drama,1257562,Drama,1
Comedy,1027658,Comedy,2
Drama|Mystery|Thriller,87722,Drama,1
Drama|Horror|Thriller,382628,Drama,1
Comedy|Crime,78913,Comedy,2
Comedy|Crime|Mystery,362511,Comedy,2
Drama|Comedy,380485,Drama,1
Action|Crime|Thriller,910934,Action,0
Action|Sci-Fi|Thriller,3677466,Action,0
Drama|Romance|War,38238,Drama,1
Action|Adventure|Fantasy,462396,Action,0
Action|Western,64395,Action,0
Drama|Mystery|Romance,287467,Drama,1
Comedy|Drama|History,205873,Comedy,2
Drama|Western,105695,Drama,1
Drama,363768,Drama,1
Comedy,97958,Comedy,2
Comedy|Romance,33922,Comedy,2
Drama|Sport,1012804,Drama,1
Comedy|Crime|Family,106613,Comedy,2
Drama|Romance,56846,Drama,1
Action|Adventure|Western,82648,Action,0
Comedy|Drama|History,76696,Comedy,2
Comedy|Crime|Drama,58383,Comedy,2
Action|Adventure|Comedy,65009,Action,0
Comedy|Drama,100024,Comedy,2
Drama|Romance|Western,60884,Drama,1
Drama|Thriller|Western,44706,Drama,1
Action|Biography|Crime,421054,Action,0
Action|Drama|Romance,782154,Action,0
Comedy|Romance|War,53143,Comedy,2
Action|Comedy|Mystery,79428,Action,0
Drama,101531,Drama,1
Comedy|Documentary,346952,Comedy,2
Comedy|Drama,462392,Comedy,2
Action|Drama|Romance,113238,Action,0
Comedy|Drama,348593,Comedy,2
Action|Crime,73633,Action,0
Action|Adventure|Romance,12752,Action,0
Action|Crime|Drama,88194,Action,0
Action|Horror|Sci-Fi,1176416,Action,0
Comedy|Drama,423409,Comedy,2
Comedy|Romance,121442,Comedy,2
Action|Comedy|Drama,3525346,Action,0
Comedy|Drama|Romance,125439,Comedy,2
Comedy|Drama|Romance,332047,Comedy,2
Comedy|Drama|Fantasy,61132,Comedy,2
Action|Sci-Fi,1758570,Action,0
Action|Romance|Thriller,32484,Action,0
Drama,53976,Drama,1
Action|Crime|Film-Noir,38478,Action,0
Drama|Romance,375154,Drama,1
Drama|Fantasy,109356,Drama,1
Comedy|Crime|Romance,162360,Comedy,2
Comedy|Drama|Family,283991,Comedy,2
Action|Crime|Drama,22286,Action,0
Comedy|Crime,104114,Comedy,2
Action|Comedy|Horror,311361,Action,0
Comedy|Family,790604,Comedy,2
Comedy|Action,117723,Comedy,2
Drama|Music,166943,Drama,1
Drama|Horror|Romance,1139797,Drama,1
Comedy,1332054,Comedy,2
Comedy|Drama|Musical,47472,Comedy,2
Action|Comedy|Drama,1191121,Action,0
Drama|Sport,103036,Drama,1
Action|Crime|Thriller,1946298,Action,0
Comedy|Crime|Mystery,102729,Comedy,2
Comedy|Family,964587,Comedy,2
Action|Comedy|Thriller,102293,Action,0
Drama|Horror,367913,Drama,1
Drama|Fantasy|Horror,56576,Drama,1
Drama|Music,101891,Drama,1
Drama|Romance|Thriller,62185,Drama,1
Comedy|Horror,264323,Comedy,2
Drama,262432,Drama,1
Action|Comedy,1942825,Action,0
Drama|Mystery|Thriller,279695,Drama,1
Drama|Thriller,268219,Drama,1
Comedy|Drama,149691,Comedy,2
Action|Adventure|Crime,804550,Action,0
Drama,477731,Drama,1
Comedy,320194,Comedy,2
Action|Adventure|Drama,83944,Action,0
Drama|Romance|Sport,300532,Drama,1
Drama,262911,Drama,1
Action|Western,60143,Action,0
Comedy|Drama|Music,92580,Comedy,2
Comedy|Romance,101545,Comedy,2
Comedy,67350,Comedy,2
Comedy|Sci-Fi,106598,Comedy,2
Comedy|Romance,439478,Comedy,2
Comedy,116422,Comedy,2
Drama|Family|Romance,103262,Drama,1
Action|Crime|Drama,2347134,Action,0
Action|History,1460743,Action,0
Drama|Horror|Thriller,1242618,Drama,1
Comedy|Romance,313792,Comedy,2
Drama,311072,Drama,1
Comedy|Family|Fantasy,115725,Comedy,2
Action|Adventure|Drama,2343380,Action,0
Action|Drama|Family,1155076,Action,0
Comedy|Drama,105197,Comedy,2
Drama|History|War,879843,Drama,1
Drama|Romance,44391,Drama,1
Action|Drama|Thriller,349710,Action,0
Comedy|Drama,271020,Comedy,2
Drama,279065,Drama,1
Comedy|Drama,462392,Comedy,2
Comedy|Romance,69097,Comedy,2
Drama,109593,Drama,1
Action|Drama|History,120775,Action,0
Drama|Mystery|Romance,337876,Drama,1
Drama,1188998,Drama,1
Action,58866,Action,0
Drama|History|War,58947,Drama,1
Action|Adventure|Fantasy,85356,Action,0
Comedy|Romance,183503,Comedy,2
Drama|Horror|Thriller,892074,Drama,1
Drama|Romance,376591,Drama,1
Drama,144688,Drama,1
Drama|Romance,56626,Drama,1
Comedy|Drama,95302,Comedy,2
Action|Crime|Drama,89835,Action,0
Action|Crime|Thriller,1527788,Action,0
Comedy|Crime|Mystery,88930,Comedy,2
Action|Adventure|Comedy,412915,Action,0
Comedy|Romance,424287,Comedy,2
Drama|History,98260,Drama,1
Action|Comedy|Crime,95963,Action,0
Drama|Mystery|Thriller,103772,Drama,1
Action|Crime|Drama,383393,Action,0
Comedy|Drama,105652,Comedy,2
Action|Drama|Thriller,475750,Action,0
Drama|Horror|Mystery,395585,Drama,1
Comedy|Musical|Romance,41509,Comedy,2
Comedy|Crime|Drama,426462,Comedy,2
Drama,419279,Drama,1
Comedy|Crime|Thriller,60445,Comedy,2
Comedy|Drama|Romance,157044,Comedy,2
Drama|Music,113862,Drama,1
Comedy|Romance,427229,Comedy,2
Drama|War,34891,Drama,1
Comedy,91541,Comedy,2
Comedy|Romance,110832,Comedy,2
Drama|War,102443,Drama,1
Drama,67805,Drama,1
Comedy|Drama|Mystery,109028,Comedy,2
Action|Crime|Drama,459516,Action,0
Action|Comedy|Crime,83511,Action,0
Comedy|Musical|Romance,56860,Comedy,2
Drama|Family,307639,Drama,1
Action|Adventure|Comedy,61810,Action,0
Action|Comedy|Horror,816539,Action,0
Action|Sport,97987,Action,0
Drama|Family|Romance,102842,Drama,1
Action|Crime|Mystery,57697,Action,0
Action|Drama|Thriller,3593046,Action,0
Comedy|Musical,33388,Comedy,2
Comedy|Drama,95903,Comedy,2
Comedy|Crime|Drama,92068,Comedy,2
Drama|Romance,309987,Drama,1
Drama|Action|Adventure,37316,Drama,1
Drama|Romance,431308,Drama,1
Drama|Horror,77914,Drama,1
Drama|Mystery|Romance,133363,Drama,1
Comedy|Drama|Romance,119746,Comedy,2
Comedy|Drama|Romance,1282140,Comedy,2
Action|Comedy|Crime,1274295,Action,0
Drama|Romance,63483,Drama,1
Comedy,380277,Comedy,2
Comedy|Crime,1345488,Comedy,2
Action|Adventure|Sci-Fi,1440129,Action,0
Comedy,82138,Comedy,2
Comedy|Drama|Mystery,100065,Comedy,2
Comedy|Drama|Romance,1055292,Comedy,2
Action|Crime|Romance,137494,Action,0
Drama|Romance,107002,Drama,1
Drama|Romance,22183,Drama,1
Action|Crime|Drama,159485,Action,0
Action|Biography|Western,114938,Action,0
Comedy|Romance,1465487,Comedy,2
Drama|Mystery|Thriller,452624,Drama,1
Comedy|Crime,314498,Comedy,2
Drama,48956,Drama,1
Comedy,67540,Comedy,2
Comedy|Crime,381707,Comedy,2
Action|Adventure|Fantasy,367882,Action,0
Comedy|Family,317303,Comedy,2
Action|Drama|Romance,458050,Action,0
Comedy|Drama|Romance,477095,Comedy,2
Action|Adventure|Drama,277327,Action,0
Action|Drama|Family,117179,Action,0
Comedy|Drama|Fantasy,995039,Comedy,2
Drama|Mystery|Sci-Fi,58898,Drama,1
Comedy|Romance,112701,Comedy,2
Action|Adventure|Sci-Fi,1392190,Action,0
Drama|Romance,1294688,Drama,1
Drama,262774,Drama,1
Drama|War,77416,Drama,1
Comedy|Drama,101324,Comedy,2
Drama,223897,Drama,1
Action,2130033,Action,0
Drama|Romance,418832,Drama,1
Drama,94884,Drama,1
Action,1579232,Action,0
Drama,17423,Drama,1
Action|Sci-Fi|Thriller,2905674,Action,0
Action|Comedy|Drama,491775,Action,0
Comedy|Mystery,104376,Comedy,2
Drama|Romance|Sport,104040,Drama,1
Drama|Horror|Mystery,56869,Drama,1
Drama|Mystery|Thriller,118564,Drama,1
Drama|Thriller,157007,Drama,1
Comedy|Crime|Drama,83107,Comedy,2
Drama|Western,48248,Drama,1
Action|Thriller|Sci-Fi,113950,Action,0
Drama,450450,Drama,1
Drama,347540,Drama,1
Comedy,95662,Comedy,2
Comedy,44566,Comedy,2
Drama|Thriller,791178,Drama,1
Drama|Horror|Thriller,1135500,Drama,1
Drama,149964,Drama,1
Drama,1527186,Drama,1
Comedy|Romance,116102,Comedy,2
Drama|War,343221,Drama,1
Drama,388364,Drama,1
Drama,262210,Drama,1
Action|Drama|Fantasy,109506,Action,0
Comedy|Drama,119207,Comedy,2
Drama|War|Comedy,308476,Drama,1
Drama|Music,756703,Drama,1
Drama|Mystery|Romance,160644,Drama,1
Drama,1101675,Drama,1
Comedy,361462,Comedy,2
Action|Fantasy|Horror,280609,Action,0
Drama|Musical|Romance,29222,Drama,1
Comedy|Sport,490822,Comedy,2
Action|Adventure,1424310,Action,0
