Genre,imdbId
Animation|Adventure|Comedy,114709
Action|Adventure|Family,113497
Comedy|Romance,113228
Comedy|Drama|Romance,114885
Comedy|Family|Romance,113041
Action|Crime|Drama,113277
Comedy|Drama,114319
Adventure|Comedy|Drama,112302
Action|Crime|Thriller,114576
Action|Adventure|Thriller,113189
Comedy|Drama|Romance,112346
Comedy|Fantasy|Horror,112896
Animation|Adventure|Drama,112453
Biography|Drama|History,113987
Action|Adventure|Comedy,112760
Biography|Crime|Drama,112641
Drama|Romance,114388
Comedy,113101
Adventure|Comedy|Crime,112281
Action|Comedy|Crime,113845
Comedy|Crime|Thriller,113161
Crime|Drama|Mystery,112722
Action|Crime|Thriller,112401
Drama|Fantasy|Mystery,114168
Drama|Romance,113627
Drama|Romance,114057
Comedy|Drama|Romance,114011
Drama,114117
Fantasy|Sci-Fi,112682
Crime|Drama|Romance,115012
Biography|Drama,112792
Mystery|Sci-Fi|Thriller,114746
Comedy|Drama|Family,112431
Biography|Drama|Romance,112637
Crime|Drama,112818
Adventure|Drama|Family,112286
Comedy|Family|Romance,113442
Comedy|Romance,112697
Drama|Thriller,112749
Drama|War,114279
Action|Crime|Drama,112819
Biography|Drama|History,114272
Action|Adventure|Fantasy,113855
Comedy|Crime|Drama,114681
Comedy|Drama|Romance,113347
Crime|Drama|Mystery,114369
Animation|Adventure|Drama,114148
Drama|Romance,114916
Crime|Drama|Mystery,114814
Comedy|Fantasy|Romance,113819
Drama,110299
Comedy|Family|Sport,112499
Drama|Music,113158
Comedy|Drama|Romance,113321
Biography|Comedy|Drama,110877
Drama|Mystery|Thriller,112714
Drama|Family|Fantasy,113419
Crime|Drama|Thriller,116260
Drama|Music,113862
Comedy|Crime,116126
Comedy|Crime|Romance,118002
Comedy,115683
Action|Sci-Fi|Thriller,116839
Comedy,113149
Comedy|Drama,113118
Action|Crime|Horror,116367
Action|Crime|Romance,113010
Comedy|Drama|Romance,113537
Drama|History,113828
Romance|Drama,115644
Sci-Fi|Thriller,114367
Documentary|Biography|Music,113973
Drama|Thriller,112744
Drama|Thriller,116731
Drama|Family,112445
Crime|Drama,114660
Comedy|Drama,112379
Drama|Romance,114039
Comedy|Drama,113612
Drama|Romance,112365
Adventure|Drama,118158
Comedy|Adventure|Family,116151
Comedy,115697
Action|Crime|Drama,113972
Drama|Horror|Romance,117002
Comedy|Fantasy|Horror,114825
Comedy|Drama|Romance,115639
Action|Crime|Thriller,115759
Comedy,113403
Crime|Drama,113247
Action|Crime|Drama,111173
Documentary|Biography,113283
Drama,115907
Comedy|Crime|Drama,115734
Comedy,117102
Drama|Mystery|Sci-Fi,118040
Comedy|Family|Sport,116483
Drama|Romance,112579
Action|Adventure|Comedy,117110
Documentary,112646
Biography|Drama|History,112573
Crime|Drama,75314
Action|Comedy|Crime,113326
Crime|Drama|Mystery,115645
Drama,113774
Documentary|Biography|War,112373
Crime|Drama,115033
Comedy|Romance,116606
Comedy,114536
Drama,106473
Comedy|Drama|Romance,103859
Comedy|Drama|Romance,109424
Drama|Romance,114808
Comedy,116324
Adventure|Comedy|Family,110647
Comedy|Romance,114131
Drama,112364
