Genre,imdbId,Feature1,Feature2
Action|Adventure|Family,113497,Action,1
Comedy|Romance,113228,Comedy,2
Comedy|Drama|Romance,114885,Comedy,2
Comedy|Family|Romance,113041,Comedy,2
Action|Crime|Drama,113277,Action,1
Comedy|Drama,114319,Comedy,2
Action|Crime|Thriller,114576,Action,1
Action|Adventure|Thriller,113189,Action,1
Comedy|Drama|Romance,112346,Comedy,2
Comedy|Fantasy|Horror,112896,Comedy,2
Action|Adventure|Comedy,112760,Action,1
Crime|Drama,112641,Crime,5
Drama|Romance,114388,Drama,6
Comedy,113101,Comedy,2
Action|Comedy|Crime,113845,Action,1
Comedy|Crime|Thriller,113161,Comedy,2
Crime|Drama|Mystery,112722,Crime,5
Action|Crime|Thriller,112401,Action,1
Drama|Fantasy|Mystery,114168,Drama,6
Drama|Romance,113627,Drama,6
Drama|Romance,114057,Drama,6
Comedy|Drama|Romance,114011,Comedy,2
Drama,114117,Drama,6
Crime|Drama|Romance,115012,Crime,5
Comedy|Drama|Family,112431,Comedy,2
Crime|Drama,112818,Crime,5
Comedy|Family|Romance,113442,Comedy,2
Comedy|Romance,112697,Comedy,2
Drama|Thriller,112749,Drama,6
Drama|War,114279,Drama,6
Action|Crime|Drama,112819,Action,1
Action|Adventure|Fantasy,113855,Action,1
Comedy|Crime|Drama,114681,Comedy,2
Comedy|Drama|Romance,113347,Comedy,2
Crime|Drama|Mystery,114369,Crime,5
Drama|Romance,114916,Drama,6
Crime|Drama|Mystery,114814,Crime,5
Action|Drama|Thriller,109950,Action,1
Comedy|Fantasy|Romance,113819,Comedy,2
Drama,110299,Drama,6
Comedy|Family|Sport,112499,Comedy,2
Drama|Music,113158,Drama,6
Comedy|Drama|Romance,113321,Comedy,2
Drama|Mystery|Thriller,112714,Drama,6
Drama|Family|Fantasy,113419,Drama,6
Crime|Drama|Thriller,116260,Crime,5
Drama|Music,113862,Drama,6
Comedy|Crime,116126,Comedy,2
Comedy|Crime|Romance,118002,Comedy,2
Comedy,115683,Comedy,2
Action|Sci-Fi|Thriller,116839,Action,1
Drama,114753,Drama,6
Comedy,113149,Comedy,2
Comedy|Drama,113118,Comedy,2
Action|Crime|Horror,116367,Action,1
Action|Crime|Romance,113010,Action,1
Comedy|Drama|Romance,113537,Comedy,2
Drama|History,113828,Drama,6
Comedy|Thriller,115676,Comedy,2
Documentary|Biography|Music,113973,Documentary,11
Drama|Thriller,112744,Drama,6
Drama|Thriller,116731,Drama,6
Drama|Family,112445,Drama,6
Crime|Drama,114660,Crime,5
Comedy|Drama,112379,Comedy,2
Drama|Romance,114039,Drama,6
Comedy|Drama,113612,Comedy,2
Drama|Romance,112365,Drama,6
Comedy|Adventure|Family,116151,Comedy,2
Comedy,115697,Comedy,2
Action|Crime|Drama,113972,Action,1
Drama,113490,Drama,6
Drama|Horror|Romance,117002,Drama,6
Comedy|Fantasy|Horror,114825,Comedy,2
Comedy|Drama|Romance,115639,Comedy,2
Action|Crime|Thriller,115759,Action,1
Comedy,113403,Comedy,2
Crime|Drama,113247,Crime,5
Action|Crime|Drama,111173,Action,1
Documentary|Biography,113283,Documentary,11
Drama,115907,Drama,6
Comedy|Crime|Drama,115734,Comedy,2
Comedy,117102,Comedy,2
Drama|Mystery|Sci-Fi,118040,Drama,6
Comedy|Family|Sport,116483,Comedy,2
Drama|Romance,112579,Drama,6
Comedy|Drama,110251,Comedy,2
Action|Adventure|Comedy,117110,Action,1
Documentary,112646,Documentary,11
Comedy|Crime|Drama,113276,Comedy,2
Crime|Drama,75314,Crime,5
Action|Comedy|Crime,113326,Action,1
Crime|Drama|Mystery,115645,Crime,5
Drama,113774,Drama,6
Comedy,112556,Comedy,2
Documentary|Biography|War,112373,Documentary,11
Crime|Drama,115033,Crime,5
Comedy|Romance,116606,Comedy,2
Comedy,114536,Comedy,2
Drama,106473,Drama,6
Comedy|Drama|Romance,103859,Comedy,2
Comedy|Drama|Romance,109424,Comedy,2
Drama|Romance,114808,Drama,6
Comedy,116324,Comedy,2
Drama,111055,Drama,6
Documentary|Biography|Mystery,110217,Documentary,11
Comedy|Romance,114131,Comedy,2
Drama,112364,Drama,6
Drama|Romance|War,113107,Drama,6
Crime|Drama|Thriller,113451,Crime,5
Comedy|Drama,114015,Comedy,2
Documentary,114500,Documentary,11
Comedy,116130,Comedy,2
