Genre,imdbId,Feature1
Comedy,113101,0
Drama,114117,1
Drama,110299,1
Comedy,115683,0
Drama,114753,1
Comedy,113149,0
Comedy,115697,0
Drama,113490,1
Comedy,113403,0
Drama,115907,1
Comedy,117102,0
Documentary,112646,2
Drama,113774,1
Comedy,112556,0
Comedy,114536,0
Drama,106473,1
Comedy,116324,0
Drama,111055,1
Drama,112364,1
Documentary,114500,2
Comedy,116130,0
Drama,113952,1
Comedy,115685,0
Drama,113200,1
Horror,112288,3
Drama,61395,1
Comedy,112541,0
Comedy,109370,0
Comedy,113500,0
Drama,113540,1
Comedy,114095,0
Drama,114323,1
Drama,114436,1
Drama,114534,1
Documentary,114805,2
Drama,109340,1
Comedy,112508,0
Drama,112757,1
Comedy,109445,0
Thriller,112899,4
Comedy,109686,0
Drama,109759,1
Comedy,110066,0
Drama,110296,1
Drama,113691,1
Comedy,113808,0
Drama,113896,1
Drama,110638,1
Drama,114084,1
Drama,108550,1
Drama,111667,1
Comedy,109040,0
Drama,107426,1
Drama,111054,1
Drama,112570,1
Horror,113043,3
Documentary,113104,2
Comedy,114047,0
Documentary,109339,2
Drama,106660,1
Comedy,106677,0
Comedy,109920,0
Comedy,113674,0
Comedy,107478,0
Drama,107501,1
Drama,107818,1
Drama,108026,1
Drama,111102,1
Drama,89256,1
Drama,109226,1
Comedy,109403,0
Horror,104029,3
Comedy,107315,0
Drama,107349,1
Drama,109828,1
Comedy,107225,0
Comedy,106878,0
Comedy,112572,0
Drama,111752,1
Comedy,112606,0
Documentary,115978,2
Horror,112625,3
Drama,113083,1
Drama,102855,1
Comedy,112844,0
Comedy,117608,0
Drama,117517,1
Comedy,117312,0
Drama,113947,1
Comedy,117788,0
Musical,112509,5
Comedy,116768,0
Drama,48473,1
Drama,52572,1
Drama,114616,1
Drama,113443,1
Drama,109751,1
Drama,109593,1
Comedy,103095,0
Drama,62952,1
Drama,110712,1
Drama,114103,1
Drama,92123,1
Comedy,116405,0
Drama,113145,1
Comedy,57012,0
Drama,104606,1
Comedy,105201,0
Drama,70820,1
Drama,84898,1
Western,114122,6
Drama,117951,1
Documentary,113147,2
Drama,100990,1
Fantasy,93199,7
Comedy,103207,0
Drama,115530,1
Comedy,118073,0
Comedy,116313,0
Comedy,117332,0
Drama,116353,1
Drama,113695,1
Drama,115680,1
Drama,117718,1
Drama,51980,1
Drama,100840,1
Drama,42054,1
Comedy,109255,0
Drama,114474,1
Comedy,115836,0
Drama,109066,1
Drama,75169,1
Drama,112607,1
Drama,114592,1
Drama,105729,1
Drama,111019,1
Comedy,84370,0
Drama,42192,1
Drama,48028,1
Drama,17350,1
Horror,63350,3
Drama,114007,1
Thriller,117473,4
Comedy,83587,0
Documentary,114597,2
Drama,117589,1
Drama,117400,1
Mystery,43140,8
Horror,55018,3
Comedy,66808,0
Comedy,79470,0
Comedy,117577,0
Drama,48545,1
Drama,44081,1
Documentary,116859,2
Comedy,115870,0
Documentary,117040,2
Comedy,115580,0
Drama,114472,1
Drama,113057,1
Drama,112907,1
Comedy,116422,0
Documentary,114147,2
Documentary,117320,2
Drama,82846,1
Horror,82533,3
Drama,91480,1
Drama,112777,1
Drama,116245,1
Drama,113328,1
Drama,34493,1
Drama,39004,1
Comedy,25799,0
Drama,110521,1
Comedy,116059,0
Horror,115610,3
Documentary,99028,2
Drama,95765,1
Comedy,109942,0
Drama,101811,1
Western,120121,6
Drama,98724,1
Drama,105107,1
Documentary,100332,2
Drama,73486,1
Western,60196,6
Western,64116,6
Thriller,82269,4
Drama,101921,1
Comedy,72431,0
Comedy,97493,0
Adventure,73341,9
Drama,87884,1
Drama,113369,1
Comedy,117550,0
Documentary,114093,2
Comedy,116601,0
Horror,103678,3
Horror,85159,3
Horror,115535,3
Horror,106262,3
Horror,83550,3
Horror,78767,3
Horror,99030,3
Horror,74285,3
Horror,87800,3
Horror,91651,3
Horror,75005,3
Drama,117666,1
Drama,113557,1
Action,103776,10
Drama,117773,1
Western,52287,6
Drama,115633,1
Drama,116999,1
Drama,117691,1
Drama,116477,1
Comedy,119115,0
Drama,106535,1
Comedy,119644,0
Documentary,116310,2
Comedy,118111,0
Drama,120238,1
Comedy,119887,0
Comedy,120434,0
Documentary,118042,2
Comedy,117544,0
Drama,118762,1
Drama,115964,1
Drama,117422,1
Comedy,118663,0
Drama,118783,1
Comedy,120032,0
Drama,105660,1
Drama,116920,1
Drama,117398,1
Drama,118964,1
Drama,117359,1
Drama,118117,1
Drama,114134,1
Comedy,117775,0
Drama,57345,1
Drama,117076,1
Drama,118818,1
Drama,102494,1
Comedy,119465,0
Drama,120323,1
Drama,119557,1
Drama,120402,1
Drama,119349,1
Comedy,119326,0
Documentary,119107,2
Documentary,120529,2
Drama,119080,1
Drama,117221,1
Drama,118749,1
Drama,107282,1
Comedy,118836,0
Drama,118632,1
Comedy,118954,0
Comedy,119142,0
Drama,119217,1
Drama,116465,1
Drama,116490,1
Thriller,130073,4
Drama,119845,1
Thriller,120222,4
Drama,120255,1
Sci-Fi,128755,11
Drama,117994,1
Drama,119052,1
Drama,120521,1
Drama,119590,1
Documentary,129758,2
Drama,119711,1
Short,133090,12
Comedy,120707,0
Documentary,145302,2
Drama,112619,1
Drama,120642,1
Drama,119049,1
Comedy,119139,0
Thriller,119196,4
Drama,118819,1
Drama,119792,1
Thriller,117443,4
Comedy,118577,0
Comedy,120725,0
Drama,120265,1
Comedy,120838,0
Drama,145048,1
Drama,119506,1
Comedy,120777,0
Comedy,131436,0
Drama,119547,1
Documentary,150290,2
Comedy,126938,0
Drama,140688,1
Drama,40416,1
Drama,64665,1
Drama,79417,1
Drama,81283,1
Drama,95953,1
Drama,97239,1
Horror,82495,3
Horror,91778,3
Horror,70047,3
Horror,76009,3
Drama,95497,1
Drama,119007,1
Documentary,119165,2
Drama,124115,1
Documentary,98213,2
Drama,83922,1
Drama,90203,1
Drama,106273,1
Drama,71910,1
Drama,82736,1
Drama,84783,1
Comedy,79367,0
Horror,99697,3
Documentary,120056,2
Drama,61184,1
Comedy,80801,0
Comedy,97443,0
Comedy,118301,0
Comedy,120692,0
Thriller,68611,4
Thriller,61107,4
Thriller,139564,4
Comedy,120654,0
Thriller,36342,4
Thriller,28212,4
Drama,22395,1
Comedy,18756,0
Drama,118980,1
Drama,165857,1
Drama,87359,1
Comedy,96166,0
Drama,100134,1
Drama,82172,1
Comedy,84938,0
Comedy,102558,0
Documentary,109390,2
Drama,120776,1
Drama,113658,1
Drama,120835,1
Drama,63850,1
Comedy,80731,0
Drama,144604,1
Comedy,120823,0
Comedy,52607,0
Comedy,63462,0
Comedy,82517,0
Drama,139615,1
Comedy,119534,0
Documentary,150230,2
Documentary,116481,2
Drama,50783,1
Drama,140888,1
Comedy,166396,0
Drama,154420,1
Drama,45826,1
Comedy,91541,0
Comedy,165494,0
Drama,87688,1
Western,89767,6
Sci-Fi,88933,11
Comedy,97958,0
Drama,120633,1
Drama,142231,1
Horror,72271,3
Comedy,92105,0
Comedy,138279,0
Comedy,151804,0
Drama,156901,1
Comedy,120618,0
Comedy,181322,0
Drama,84390,1
Horror,85333,3
Comedy,84412,0
Horror,80354,3
Documentary,175550,2
Comedy,159696,0
Drama,120646,1
Drama,125778,1
Horror,57129,3
Comedy,129280,0
Drama,120449,1
Sci-Fi,127302,11
Documentary,188996,2
Comedy,119546,0
Drama,128370,1
Drama,115669,1
Drama,138874,1
Drama,188052,1
Drama,115005,1
Comedy,160298,0
Horror,34398,3
Drama,156794,1
Drama,126859,1
Drama,126261,1
Documentary,184510,2
Documentary,120370,2
Comedy,119038,0
Sci-Fi,120554,11
Drama,149964,1
Comedy,163651,0
Drama,162830,1
Comedy,90774,0
Drama,88939,1
Comedy,93818,0
Comedy,93690,0
Drama,89816,1
Comedy,144168,0
Comedy,120210,0
Comedy,131325,0
Horror,53363,3
Horror,58333,3
Comedy,91178,0
Comedy,66765,0
Horror,77394,3
Horror,82377,3
Comedy,80339,0
Comedy,188863,0
Comedy,119692,0
Action,103617,10
Drama,58175,1
Drama,163185,1
Comedy,164108,0
Drama,169145,1
Horror,145531,3
Drama,194314,1
Western,60095,6
Drama,23369,1
Drama,176415,1
Comedy,91042,0
Western,61747,6
Drama,65571,1
Documentary,176093,2
Drama,57058,1
Western,58461,6
Drama,84485,1
Drama,17423,1
Drama,133117,1
Drama,137523,1
Drama,187712,1
Drama,172627,1
Documentary,72742,2
Thriller,59319,4
Drama,168589,1
Comedy,120596,0
Drama,200071,1
Drama,65088,1
Comedy,16630,0
Horror,82427,3
Comedy,86465,0
Comedy,79540,0
Comedy,87700,0
Comedy,104837,0
Drama,83911,1
Comedy,83254,0
Horror,32215,3
Drama,114008,1
Drama,84855,1
Drama,68528,1
Drama,94027,1
Drama,59674,1
Drama,185125,1
Horror,84357,3
Drama,40522,1
Comedy,50738,0
Drama,105265,1
Drama,88007,1
Drama,87091,1
Drama,87921,1
Drama,90556,1
Drama,189744,1
Comedy,97717,0
Drama,160513,1
Drama,79239,1
Comedy,14538,0
Drama,150216,1
Drama,141974,1
Drama,67328,1
Drama,175880,1
Drama,64006,1
Drama,66892,1
Western,32590,6
Comedy,195945,0
Drama,145653,1
Drama,174268,1
Drama,169302,1
Drama,65724,1
Horror,54067,3
Drama,94924,1
Horror,66380,3
Drama,29606,1
Thriller,100318,4
Comedy,153866,0
Comedy,11652,0
Documentary,183065,2
Comedy,156639,0
