Genre,imdbId,Feature1,Feature2
Action|Adventure|Drama,35153,Action,0
Drama,1630036,Drama,1
Comedy|Romance,1195478,Comedy,2
Comedy|Action|Crime,79966,Comedy,2
Drama|History,1029364,Drama,1
Comedy|Drama|Romance,238303,Comedy,2
Comedy|Romance,1594503,Comedy,2
Action|Adventure|Biography,499238,Action,0
Drama|Thriller,113748,Drama,1
Comedy|Romance,132213,Comedy,2
Comedy,338828,Comedy,2
Action|Adventure|Drama,84674,Action,0
Action|Adventure|Drama,3859980,Action,0
Comedy|Romance,35258,Comedy,2
Drama,363303,Drama,1
Drama|Mystery|Romance,1305806,Drama,1
Drama,72782,Drama,1
Drama,143012,Drama,1
Action|Comedy|Crime,329717,Action,0
Drama,107630,Drama,1
Comedy,103095,Comedy,2
Drama|History|War,14672,Drama,1
Comedy|Fantasy|Romance,1058017,Comedy,2
Comedy|Drama,219822,Comedy,2
Comedy|Drama,3133246,Comedy,2
Action|Crime|Mystery,1602500,Action,0
Comedy|Drama|Fantasy,103129,Comedy,2
Drama,3265462,Drama,1
Drama,4645368,Drama,1
Drama|Sport,1125849,Drama,1
Action|Crime|Drama,74857,Action,0
Drama|Romance,361127,Drama,1
Drama|Thriller,128137,Drama,1
Comedy|Drama,3576084,Comedy,2
Drama,867334,Drama,1
Drama,101844,Drama,1
Drama|Thriller,3346224,Drama,1
Drama|Crime,67849,Drama,1
Drama|Mystery,375233,Drama,1
Action|Comedy|Thriller,884224,Action,0
Action|Horror,1649443,Action,0
Comedy|Crime|Musical,42769,Comedy,2
Comedy,116422,Comedy,2
Action|Horror|Sci-Fi,5340882,Action,0
Comedy|Drama,60879,Comedy,2
Action|Drama|Thriller,115665,Action,0
Comedy|Musical,54172,Comedy,2
Action|Comedy,331933,Action,0
Drama,1020936,Drama,1
Drama|Horror|Mystery,74356,Drama,1
Comedy,52749,Comedy,2
Action|Crime|Romance,1904996,Action,0
Drama|Mystery|Thriller,2182121,Drama,1
Comedy|Romance|Musical,33029,Comedy,2
Comedy|Family|Adventure,342108,Comedy,2
Drama|Mystery|Sci-Fi,123755,Drama,1
Comedy|Crime|Drama,157913,Comedy,2
Action|Adventure|Crime,23038,Action,0
Action|Adventure|Sci-Fi,1440129,Action,0
Drama|Romance,43828,Drama,1
Action|Adventure|Drama,1037705,Action,0
Action|Adventure|Sci-Fi,3072482,Action,0
Comedy|Crime|Sport,424823,Comedy,2
Drama|History|Romance,48791,Drama,1
Drama,84899,Drama,1
Drama,116119,Drama,1
Drama,33677,Drama,1
Comedy,85603,Comedy,2
Comedy|Drama,1740047,Comedy,2
Comedy|Crime|Drama,1130988,Comedy,2
Drama|Sport,82090,Drama,1
Drama,47099,Drama,1
Drama|Romance,1563738,Drama,1
Comedy|Crime|Mystery,36709,Comedy,2
Drama,22635,Drama,1
Drama|Romance,222024,Drama,1
Comedy|Romance,3469386,Comedy,2
Action|Adventure|Comedy,58881,Action,0
Action|Drama|History,187393,Action,0
Comedy|Drama,369295,Comedy,2
Drama,847510,Drama,1
Drama,213668,Drama,1
Action|Sci-Fi|Thriller,2474972,Action,0
Drama|Romance,82416,Drama,1
Drama|Romance|War,52080,Drama,1
Comedy|Drama,367195,Comedy,2
Action|Adventure|Fantasy,102034,Action,0
Drama,1093374,Drama,1
